n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,-1.4997,2.0192,3.9688,4.0237,-7.016,-0.5134,0.0,0.0,1.0,-0.0334,0.0066,-0.0295,0.0335,0.0087,-0.0282
3.9598,-1.4913,2.2593,4.1495,6.7104,-6.8975,-0.4154,0.0,0.0,1.0,-0.0334,0.0065,-0.0296,0.0335,0.0087,-0.0282
8.013,-1.504,2.1833,3.8574,4.5766,-6.697,-0.1884,0.0,0.0,1.0,-0.0334,0.0065,-0.0296,0.0334,0.0086,-0.0283
11.9922,-1.5153,2.1582,3.9738,4.136,-6.7527,-0.3712,0.0,0.0,1.0,-0.0334,0.0065,-0.0295,0.0334,0.0087,-0.0282
15.9646,-1.4939,2.127,4.032,4.0869,-6.8583,-0.7154,0.0,0.0,1.0,-0.0334,0.0066,-0.0295,0.0334,0.0087,-0.0282
20.1241,-1.4726,2.0853,3.9137,3.3972,-6.6862,-0.3862,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0087,-0.0282
24.0071,-1.482,2.1767,3.6751,4.9605,-7.0177,-1.3143,0.0,0.0,1.0,-0.0334,0.0066,-0.0295,0.0335,0.0087,-0.0281
27.9847,-1.4899,2.1788,3.9297,4.3676,-6.7776,-0.465,0.0,0.0,1.0,-0.0334,0.0065,-0.0295,0.0334,0.0087,-0.0283
32.1188,-1.4759,2.3696,3.6375,5.4826,-6.4552,0.109,0.0,0.0,1.0,-0.0334,0.0065,-0.0295,0.0334,0.0086,-0.0283
35.9879,-1.4666,2.3389,3.887,4.2136,-6.6955,-0.209,0.0,0.0,1.0,-0.0334,0.0065,-0.0295,0.0334,0.0086,-0.0282
40.0375,-1.4869,2.3497,3.7396,3.9077,-6.8939,-0.0063,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0283
44.0107,-1.4915,2.3576,3.64,3.6685,-6.7441,0.2724,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0282
47.9551,-1.535,2.2935,3.5318,3.4727,-7.1023,0.3362,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0335,0.0086,-0.0283
52.3407,-1.5213,2.2783,3.7716,3.6811,-6.4874,0.2196,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0283
55.9692,-1.5436,2.3031,3.8151,4.2596,-6.9791,-0.1554,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0335,0.0086,-0.0283
59.9652,-1.5447,2.3062,3.7756,3.9645,-6.7142,-0.2513,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0283
64.0065,-1.5458,2.3799,4.1455,4.4988,-6.9816,-0.0592,0.0,0.0,1.0,-0.0334,0.0065,-0.0294,0.0335,0.0086,-0.0283
68.1302,-1.5152,2.3994,3.7548,4.2494,-6.4753,0.0751,0.0,0.0,1.0,-0.0334,0.0065,-0.0294,0.0334,0.0086,-0.0283
71.9749,-1.5064,2.3909,4.1475,4.119,-6.8286,-0.2564,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0284
76.107,-1.5082,2.3123,3.7676,3.6485,-6.6285,-0.0228,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0284
79.9774,-1.5106,2.3318,3.7249,4.0941,-6.6247,0.2216,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0284
84.3318,-1.4973,2.306,3.8072,3.6489,-6.6735,-0.1723,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0283
88.0608,-1.477,2.3008,4.1537,3.9677,-6.8568,-0.167,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0335,0.0086,-0.0283
92.0032,-1.4547,2.284,3.7616,4.1699,-6.6918,-0.6531,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0087,-0.0282
96.0686,-1.4718,2.2464,3.7809,3.5881,-6.8529,-0.3875,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0335,0.0087,-0.0283
100.0366,-1.4627,2.1916,3.8492,3.5664,-6.7778,-0.5672,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0087,-0.0283
103.944,-1.4623,2.1618,3.8591,3.5823,-6.7666,-0.4258,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0335,0.0087,-0.0282
107.9896,-1.4541,2.1449,3.863,3.6785,-6.5465,0.2119,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
112.0047,-1.4578,2.0893,3.8727,3.621,-6.6807,-0.4675,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0283
115.9744,-1.4391,2.1022,4.0118,3.7718,-6.394,0.2119,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0283
119.9881,-1.4422,2.0871,3.8809,3.507,-6.7602,-0.1316,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0283
123.983,-1.4424,2.0387,3.8326,3.5761,-6.7235,-0.3873,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0283
127.9808,-1.4511,2.0429,3.8706,3.571,-6.8907,-0.0524,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0335,0.0086,-0.0283
132.0029,-1.4548,2.0829,4.0541,4.3174,-6.8771,0.1291,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0335,0.0086,-0.0283
136.0684,-1.4533,2.097,3.9287,3.7398,-6.8131,0.0917,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0335,0.0086,-0.0283
140.1044,-1.4342,2.1337,3.8608,3.7814,-6.5324,0.1883,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0284
144.0557,-1.4379,2.1892,3.9046,3.5749,-6.8405,0.6211,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0335,0.0086,-0.0284
148.0465,-1.4185,2.217,3.9293,3.5746,-6.4746,0.2898,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0283
152.0148,-1.402,2.2052,3.8643,3.5207,-6.2823,0.1073,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
155.9496,-1.4051,2.251,3.9914,3.7496,-6.7528,0.409,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
159.9509,-1.4089,2.2588,3.9183,3.8217,-6.5181,0.2742,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
164.0611,-1.3929,2.2692,3.8607,3.4499,-6.4314,0.2502,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
168.0521,-1.376,2.3221,3.9576,4.1945,-6.4863,0.1637,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
171.9938,-1.359,2.3588,3.9017,4.2142,-6.5153,0.1368,0.0,0.0,1.0,-0.0334,0.0065,-0.0293,0.0334,0.0086,-0.0283
176.0807,-1.3681,2.3098,3.9506,3.622,-6.8621,-0.1859,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0335,0.0086,-0.0283
180.036,-1.359,2.2939,4.0677,3.4043,-6.7471,0.1454,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0283
183.9982,-1.3694,2.2489,3.9636,3.402,-6.8168,-0.3032,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0335,0.0086,-0.0283
188.02,-1.3608,2.2312,3.9524,3.7297,-6.6779,-0.0095,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0283
191.9992,-1.3716,2.2295,3.9635,3.8393,-6.7296,-0.0153,0.0,0.0,1.0,-0.0334,0.0066,-0.0294,0.0334,0.0086,-0.0284
196.1792,-1.3925,2.2371,3.9869,3.4483,-6.8657,0.4102,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0283
200.0071,-1.3969,2.2283,3.9209,3.7691,-6.7625,0.1379,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
204.0049,-1.4031,2.1772,3.9018,3.6917,-6.6556,-0.6151,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0087,-0.0283
208.0066,-1.4104,2.228,3.9418,4.4752,-6.6932,0.0917,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
212.0215,-1.4241,2.1998,3.8956,3.7215,-6.7416,0.059,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
215.9732,-1.452,2.2282,3.7378,4.0248,-6.9324,0.6364,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0335,0.0086,-0.0285
220.0366,-1.4523,2.2725,4.1248,3.822,-7.0246,0.5703,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0335,0.0086,-0.0284
224.0267,-1.4423,2.2864,4.127,3.8449,-6.6621,0.0911,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
228.0255,-1.436,2.2611,3.9516,3.4051,-6.66,-0.5116,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
232.0522,-1.4276,2.2789,4.0838,3.8065,-6.6711,0.1464,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0285
236.0332,-1.4302,2.2534,3.9875,3.4089,-6.8003,-0.0055,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
239.9974,-1.3987,2.2437,4.0883,3.5044,-6.3805,0.1372,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
244.0937,-1.3765,2.2641,4.006,3.4101,-6.397,0.7936,0.0,0.0,1.0,-0.0334,0.0066,-0.0293,0.0334,0.0086,-0.0284
