n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,0.2439,-4.5338,3.0337,-4.6785,-1.6987,-3.8734,0.0,0.0,0.4433,-0.0323,0.003,-0.027,0.032,0.0012,-0.0267
3.9663,0.3069,-4.4915,2.9484,-4.8593,-1.705,-3.8491,0.0,0.0,0.4433,-0.0323,0.003,-0.027,0.032,0.0012,-0.0266
7.9966,0.3581,-4.4576,3.0235,-4.793,-1.7463,-3.8223,0.0,0.0,0.4433,-0.0324,0.003,-0.027,0.032,0.0012,-0.0266
12.0218,0.3802,-4.3317,2.9738,-3.9131,-1.9072,-3.0632,0.0,0.0,0.4433,-0.0324,0.003,-0.0271,0.032,0.0012,-0.0266
16.042,0.3745,-4.092,2.4463,-2.6697,-2.0472,-2.6252,0.0,0.0,0.4433,-0.0323,0.003,-0.0272,0.032,0.0012,-0.0267
19.9531,0.3456,-3.6352,2.2477,-1.4125,-2.4529,-1.874,0.0,0.0,0.4433,-0.0323,0.003,-0.0273,0.032,0.0012,-0.0268
23.9889,0.2994,-2.7551,2.1678,-0.435,-2.5354,-0.1479,0.0,0.0,0.4433,-0.0323,0.0029,-0.0273,0.032,0.0012,-0.0268
27.9583,0.237,-1.8023,2.1327,-0.0063,-2.6708,0.8504,0.0,0.0,0.4433,-0.0322,0.0029,-0.0268,0.0319,0.0011,-0.0268
31.9642,0.0963,-0.5767,1.5257,1.1824,-2.8517,1.7987,0.0,0.0,0.4433,-0.0322,0.0029,-0.0262,0.0319,0.0011,-0.0269
35.9288,-0.0472,0.4016,1.3223,1.5871,-2.8618,2.7777,0.0,0.0,0.4433,-0.0321,0.003,-0.026,0.0319,0.0011,-0.0269
40.0316,-0.1676,1.2188,1.4372,1.8014,-2.9691,3.8017,0.0,0.0,0.4433,-0.0321,0.003,-0.0259,0.0319,0.0011,-0.0272
44.0189,-0.3471,1.9581,1.3127,2.9178,-3.3225,4.1802,0.0,0.0,0.4433,-0.0322,0.003,-0.0265,0.032,0.0011,-0.0274
47.9405,-0.3678,2.2969,2.1551,2.6612,-3.3723,4.4296,0.0,0.0,0.4433,-0.0322,0.003,-0.0267,0.032,0.0012,-0.0275
51.956,-0.4628,2.7837,2.0076,3.0816,-3.2591,5.1262,0.0,0.0,0.4433,-0.0323,0.003,-0.0267,0.032,0.001,-0.0274
56.2171,-0.5183,3.0496,2.293,3.2316,-3.2872,5.1022,0.0,0.0,0.4433,-0.0323,0.003,-0.0268,0.032,0.001,-0.0273
59.9323,-0.5109,3.3249,2.7778,3.3382,-3.2256,5.365,0.0,0.0,0.4433,-0.0323,0.0029,-0.0268,0.032,0.001,-0.0274
64.0223,-0.523,3.6683,2.6156,4.2962,-3.2009,5.4053,0.0,0.0,0.4433,-0.0323,0.0028,-0.0268,0.032,0.001,-0.0274
68.0313,-0.5806,3.9977,2.129,4.586,-3.2471,5.7735,0.0,0.0,0.4433,-0.0323,0.0028,-0.0266,0.032,0.0009,-0.0274
71.9555,-0.5588,4.3512,2.4872,5.425,-3.2495,5.7087,0.0,0.0,0.4433,-0.0323,0.0027,-0.0267,0.032,0.0009,-0.0273
76.0372,-0.5548,4.5806,2.2241,5.169,-3.1222,5.7565,0.0,0.0,0.4433,-0.0323,0.0027,-0.0267,0.032,0.0009,-0.0272
80.0339,-0.5229,4.8247,2.3062,5.2608,-3.1108,5.8754,0.0,0.0,0.4433,-0.0323,0.0027,-0.0266,0.032,0.0008,-0.027
83.9651,-0.4898,5.0242,2.3608,5.3332,-3.0831,5.7877,0.0,0.0,0.4433,-0.0323,0.0026,-0.0266,0.032,0.0008,-0.0269
87.9591,-0.4261,5.2105,2.4991,5.271,-2.8745,6.2549,0.0,0.0,0.4433,-0.0323,0.0026,-0.0266,0.0319,0.0007,-0.0268
91.9424,-0.3993,5.3867,2.258,5.4643,-2.8198,6.0994,0.0,0.0,0.4433,-0.0323,0.0026,-0.0266,0.0319,0.0007,-0.0267
95.9645,-0.3729,5.5747,2.2609,6.0114,-2.8862,6.2494,0.0,0.0,0.4433,-0.0323,0.0026,-0.0267,0.032,0.0007,-0.0266
100.0127,-0.3442,5.6633,2.3761,5.3432,-2.7803,6.0918,0.0,0.0,0.4433,-0.0323,0.0026,-0.0269,0.032,0.0007,-0.0265
103.9641,-0.3426,5.7714,2.2893,5.6144,-2.7778,5.9758,0.0,0.0,0.4433,-0.0323,0.0026,-0.0268,0.032,0.0007,-0.0265
108.0415,-0.3284,5.807,2.4766,4.7949,-2.8208,6.1211,0.0,0.0,0.4433,-0.0323,0.0027,-0.0268,0.032,0.0007,-0.0266
111.9727,-0.3003,5.8011,2.3522,4.7107,-2.8026,5.7594,0.0,0.0,0.4433,-0.0323,0.0027,-0.0266,0.032,0.0007,-0.0266
115.9572,-0.3099,5.7771,1.939,4.698,-2.8204,6.0066,0.0,0.0,0.4433,-0.0323,0.0027,-0.0267,0.032,0.0007,-0.0267
120.0249,-0.3154,5.7238,1.908,4.2545,-2.8255,5.8541,0.0,0.0,0.4433,-0.0323,0.0027,-0.0266,0.032,0.0007,-0.0267
123.9655,-0.2913,5.7516,2.4068,5.3318,-2.7679,6.0808,0.0,0.0,0.4433,-0.0323,0.0027,-0.0265,0.0319,0.0007,-0.0267
127.9543,-0.2856,5.7178,2.282,4.5956,-2.8101,6.1412,0.0,0.0,0.4433,-0.0324,0.0027,-0.0265,0.032,0.0007,-0.0267
131.9792,-0.2903,5.6826,2.274,4.7023,-2.7726,6.0505,0.0,0.0,0.4433,-0.0324,0.0027,-0.0265,0.032,0.0007,-0.0267
135.9551,-0.2611,5.6583,2.7322,5.0736,-2.8026,5.816,0.0,0.0,0.4433,-0.0324,0.0026,-0.0266,0.032,0.0007,-0.0267
139.9545,-0.193,5.6094,3.242,5.0784,-2.8211,5.902,0.0,0.0,0.4433,-0.0325,0.0026,-0.0266,0.032,0.0007,-0.0267
143.9484,-0.2277,5.5619,2.3677,4.5914,-2.8945,5.8609,0.0,0.0,0.4433,-0.0324,0.0027,-0.0266,0.032,0.0007,-0.0267
147.9636,-0.1823,5.4809,2.8194,4.1811,-2.7107,5.637,0.0,0.0,0.4433,-0.0324,0.0027,-0.0265,0.032,0.0007,-0.0267
152.0503,-0.1689,5.471,2.7796,4.693,-2.8697,5.8978,0.0,0.0,0.4433,-0.0324,0.0027,-0.0265,0.032,0.0007,-0.0266
156.0491,-0.1697,5.5049,2.5845,5.1872,-2.9158,5.9388,0.0,0.0,0.4433,-0.0324,0.0026,-0.0264,0.032,0.0007,-0.0267
160.1406,-0.1795,5.5054,2.1693,4.8771,-2.8563,5.8974,0.0,0.0,0.4433,-0.0324,0.0026,-0.0264,0.032,0.0007,-0.0267
164.0665,-0.1588,5.5514,2.3037,5.6018,-2.7586,5.4809,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0267
168.0503,-0.1915,5.521,2.0413,5.2509,-2.8802,5.4846,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0267
171.9796,-0.2076,5.5252,2.1536,4.8779,-2.9947,5.9833,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0266
175.9808,-0.2371,5.5401,2.0498,5.0763,-3.0033,5.9365,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0267
179.9743,-0.2693,5.5355,2.1036,5.1638,-2.8997,5.5966,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0007,-0.0266
184.0376,-0.3191,5.5634,2.1673,5.3363,-3.1112,6.0862,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0007,-0.0266
187.9489,-0.2955,5.5888,2.7173,5.0625,-2.9877,6.0106,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0007,-0.0266
192.0138,-0.3208,5.6395,2.5137,5.1524,-2.9621,5.9372,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0007,-0.0266
195.9533,-0.3482,5.6482,2.4563,5.067,-3.1814,5.7948,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0007,-0.0266
200.0364,-0.3782,5.6434,2.1418,5.0884,-3.0829,5.9015,0.0,0.0,0.4433,-0.0324,0.0025,-0.026,0.032,0.0007,-0.0266
203.9446,-0.3698,5.6516,2.3679,5.1994,-2.9605,5.7869,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0007,-0.0266
208.193,-0.3774,5.661,2.4328,5.1885,-3.112,6.0464,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0006,-0.0266
212.063,-0.3713,5.6758,2.2059,5.435,-2.8637,5.6664,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0266
215.9824,-0.3375,5.6753,2.7065,5.0464,-2.9597,5.8473,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0266
220.0509,-0.3254,5.6667,2.4221,5.1335,-2.9943,5.716,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0266
224.0239,-0.3125,5.6782,2.4716,5.0875,-2.9803,5.9656,0.0,0.0,0.4433,-0.0324,0.0025,-0.0263,0.032,0.0007,-0.0266
228.0862,-0.2995,5.6711,2.4713,5.2333,-3.0727,5.9649,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0266
232.0603,-0.2942,5.6861,2.8378,5.5104,-3.1332,5.8469,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0266
235.9779,-0.2816,5.7031,3.0616,5.4856,-3.3776,5.927,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0266
239.9717,-0.2798,5.7405,2.7343,5.7373,-3.2953,5.8982,0.0,0.0,0.4433,-0.0324,0.0025,-0.0263,0.032,0.0007,-0.0266
243.9688,-0.2614,5.7737,2.8049,5.7709,-3.2983,5.8976,0.0,0.0,0.4433,-0.0324,0.0025,-0.0263,0.032,0.0006,-0.0266
247.968,-0.225,5.7844,3.1018,5.333,-3.0866,5.9326,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0007,-0.0266
252.0677,-0.2051,5.7876,3.0899,5.3883,-3.2998,5.8856,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0007,-0.0266
256.0759,-0.1693,5.8196,3.368,5.8244,-3.3368,5.8979,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0006,-0.0266
259.9695,-0.1508,5.8291,3.4672,5.2886,-3.4706,5.9181,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0006,-0.0266
264.0794,-0.1384,5.857,3.4433,5.4658,-3.6436,6.0323,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0006,-0.0266
268.0625,-0.1346,5.8872,3.3516,5.7002,-3.6482,6.0226,0.0,0.0,0.4433,-0.0324,0.0025,-0.0262,0.032,0.0006,-0.0266
272.0754,-0.1174,5.9015,3.4999,5.4813,-3.6706,6.0704,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.032,0.0006,-0.0266
276.0223,-0.0791,5.9156,4.0207,5.7392,-3.7987,5.9161,0.0,0.0,0.4433,-0.0324,0.0025,-0.0261,0.0321,0.0006,-0.0266
280.0264,-0.0761,5.9221,3.7778,5.6814,-3.8536,5.8832,0.0,0.0,0.4433,-0.0324,0.0024,-0.0261,0.0321,0.0007,-0.0267
283.962,-0.0412,5.9522,4.0035,5.812,-3.846,6.3838,0.0,0.0,0.4433,-0.0324,0.0024,-0.0262,0.032,0.0006,-0.0267
288.0445,0.0529,5.9895,4.7081,5.9513,-3.8734,6.4124,0.0,0.0,0.4433,-0.0325,0.0024,-0.0262,0.032,0.0006,-0.0267
291.9916,0.0552,6.0037,4.4204,5.3912,-4.0152,6.2564,0.0,0.0,0.4433,-0.0325,0.0024,-0.0262,0.032,0.0006,-0.0266
295.99,0.059,5.9485,4.3607,4.7075,-4.2304,5.6481,0.0,0.0,0.4433,-0.0325,0.0024,-0.0262,0.032,0.0006,-0.0266
299.9748,0.0062,5.6686,4.3145,3.0244,-4.864,4.6082,0.0,0.0,0.4433,-0.0324,0.0026,-0.0267,0.0321,0.0007,-0.0268
303.9639,-0.1187,5.3275,4.387,2.9765,-5.4981,3.5676,0.0,0.0,0.4433,-0.0324,0.0026,-0.027,0.0321,0.0007,-0.0269
307.9885,-0.2218,4.4628,3.8927,1.2924,-5.4282,2.5208,0.0,0.0,0.4433,-0.0323,0.0026,-0.0271,0.0321,0.0008,-0.0269
312.1869,-0.2827,3.681,4.0342,0.7022,-5.4375,2.1293,0.0,0.0,0.4433,-0.0323,0.0027,-0.0271,0.0321,0.0008,-0.027
315.9527,-0.2908,3.378,4.4797,1.2495,-5.3422,2.1173,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.032,0.0008,-0.0269
320.0981,-0.2877,3.0157,4.6144,1.2489,-5.1418,2.0306,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.032,0.0008,-0.027
324.0894,-0.328,2.8065,4.0871,1.4468,-5.0812,2.1737,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.032,0.0008,-0.027
328.0661,-0.3338,2.6597,4.534,1.7741,-5.0362,2.2433,0.0,0.0,0.4433,-0.0324,0.0026,-0.027,0.032,0.0008,-0.027
331.9861,-0.398,2.4257,4.152,1.3802,-5.0257,2.226,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.032,0.0008,-0.0269
336.0082,-0.4342,2.2572,4.5228,1.1952,-5.2412,2.3804,0.0,0.0,0.4433,-0.0324,0.0026,-0.027,0.032,0.0008,-0.0269
340.0031,-0.449,2.0917,4.5495,1.1632,-5.1345,2.3129,0.0,0.0,0.4433,-0.0324,0.0027,-0.0271,0.032,0.0008,-0.0269
344.0858,-0.4561,1.9085,4.3203,0.643,-5.0593,2.0983,0.0,0.0,0.4433,-0.0324,0.0027,-0.0271,0.032,0.0008,-0.0269
347.9864,-0.4353,1.8087,4.5242,1.1834,-5.2268,2.1766,0.0,0.0,0.4433,-0.0324,0.0027,-0.0271,0.032,0.0008,-0.027
351.9963,-0.4227,1.8152,4.4569,1.136,-5.5188,2.7147,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.0321,0.0007,-0.0269
356.0893,-0.3847,1.8715,4.8264,1.6256,-5.4078,2.4392,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.0321,0.0007,-0.0269
359.974,-0.3835,1.9134,4.4721,1.8887,-5.232,2.3184,0.0,0.0,0.4433,-0.0324,0.0026,-0.027,0.0321,0.0008,-0.0269
364.0949,-0.3773,1.9277,4.7564,1.5049,-5.2611,2.1865,0.0,0.0,0.4433,-0.0324,0.0026,-0.0269,0.0321,0.0008,-0.0269
368.0861,-0.3649,1.9242,4.4357,1.3721,-5.0671,2.1945,0.0,0.0,0.4433,-0.0324,0.0026,-0.027,0.032,0.0008,-0.027
371.9992,-0.3619,1.9184,4.7401,1.5542,-5.2604,2.2262,0.0,0.0,0.4433,-0.0324,0.0026,-0.027,0.0321,0.0008,-0.0269
376.0943,-0.3561,1.9017,4.4917,1.1629,-5.1724,2.148,0.0,0.0,0.4433,-0.0324,0.0026,-0.027,0.0321,0.0008,-0.0269
380.0616,-0.359,1.8806,4.3911,1.1815,-5.1548,1.9715,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.0321,0.0008,-0.0269
383.9888,-0.3638,1.8616,4.435,1.1697,-5.1498,1.9498,0.0,0.0,0.4433,-0.0324,0.0026,-0.027,0.0321,0.0008,-0.0269
388.0859,-0.3688,1.8661,4.2905,0.658,-5.1045,2.4109,0.0,0.0,0.4433,-0.0324,0.0027,-0.027,0.0321,0.0008,-0.0269
391.9766,-0.35,1.8833,4.847,1.5505,-5.2526,2.1348,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.0321,0.0008,-0.027
396.1012,-0.3417,1.8472,4.3951,1.1494,-5.1239,1.9975,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.0321,0.0008,-0.0269
399.9963,-0.3352,1.8125,4.5221,1.2198,-5.016,2.0407,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.032,0.0008,-0.027
403.975,-0.3249,1.768,4.574,1.2742,-5.108,1.873,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.0321,0.0008,-0.0269
407.9782,-0.332,1.7538,4.3571,1.2189,-5.0063,2.12,0.0,0.0,0.4433,-0.0324,0.0026,-0.0271,0.032,0.0008,-0.0269
412.0685,-0.3393,1.7378,4.4731,1.1195,-5.2609,2.0852,0.0,0.0,0.4433,-0.0324,0.0027,-0.0271,0.0321,0.0008,-0.0269
415.9784,-0.3337,1.7065,4.8029,1.0666,-5.2867,1.9787,0.0,0.0,0.4433,-0.0324,0.0027,-0.0271,0.0321,0.0008,-0.0269
420.0722,-0.3512,1.6845,4.3786,0.6829,-5.3332,2.1884,0.0,0.0,0.4433,-0.0324,0.0027,-0.027,0.0321,0.0008,-0.0269
424.0807,-0.3406,1.6849,4.5141,1.112,-5.0778,2.0364,0.0,0.0,0.4433,-0.0324,0.0027,-0.0269,0.0321,0.0008,-0.027
428.0431,-0.3538,1.6622,4.1647,0.7164,-5.0644,2.0048,0.0,0.0,0.4433,-0.0324,0.0027,-0.0269,0.0321,0.0008,-0.0269
432.0891,-0.3389,1.6456,4.6639,0.7684,-5.2286,1.9957,0.0,0.0,0.4433,-0.0324,0.0027,-0.0269,0.0321,0.0008,-0.0269
436.0692,-0.3534,1.6215,4.4985,1.0723,-5.2169,1.9928,0.0,0.0,0.4433,-0.0324,0.0027,-0.0269,0.0321,0.0008,-0.0269
440.0523,-0.3509,1.6119,4.5543,0.9356,-5.2202,2.0225,0.0,0.0,0.4433,-0.0324,0.0027,-0.0268,0.0321,0.0008,-0.0269
443.9889,-0.3589,1.602,4.5136,0.7156,-5.1962,2.318,0.0,0.0,0.4433,-0.0324,0.0027,-0.0267,0.0321,0.0008,-0.0269
447.9751,-0.3787,1.5843,4.1469,0.7395,-5.0546,2.0355,0.0,0.0,0.4433,-0.0324,0.0027,-0.0268,0.0321,0.0008,-0.0269
451.9955,-0.382,1.5802,4.4547,0.921,-5.2301,2.2535,0.0,0.0,0.4433,-0.0324,0.0027,-0.0268,0.0321,0.0008,-0.0269
456.088,-0.3742,1.5644,4.6176,0.8489,-5.2602,1.9952,0.0,0.0,0.4433,-0.0325,0.0027,-0.0267,0.0321,0.0008,-0.0269
459.9627,-0.4087,1.5671,4.2427,0.8977,-5.4023,2.1736,0.0,0.0,0.4433,-0.0324,0.0026,-0.0268,0.0321,0.0008,-0.0269
464.007,-0.4147,1.5855,4.206,1.0338,-5.2339,2.2184,0.0,0.0,0.4433,-0.0324,0.0026,-0.0268,0.0321,0.0008,-0.0269
468.0868,-0.4266,1.6046,4.2693,1.2868,-5.1248,2.1915,0.0,0.0,0.4433,-0.0324,0.0026,-0.0269,0.0321,0.0008,-0.0269
471.9704,-0.4221,1.5924,4.421,0.5768,-5.219,1.9812,0.0,0.0,0.4433,-0.0324,0.0026,-0.0269,0.0321,0.0008,-0.027
475.9931,-0.3934,1.5154,4.8676,0.0378,-5.0011,1.3343,0.0,0.0,0.4433,-0.0324,0.0027,-0.0268,0.0321,0.0008,-0.0269
480.0647,-0.2474,1.4699,5.9715,0.3763,-5.1498,1.6916,0.0,0.0,0.4433,-0.0325,0.0026,-0.0266,0.0321,0.0008,-0.027
484.1442,-0.1959,1.3277,5.5243,-0.1717,-4.7067,0.6604,0.0,0.0,0.4433,-0.0325,0.0027,-0.0266,0.0321,0.0009,-0.0269
487.9853,-0.0219,1.2108,5.9471,0.0457,-4.6162,0.6572,0.0,0.0,0.4433,-0.0325,0.0026,-0.0266,0.0321,0.0009,-0.027
491.9898,-0.0317,1.1242,5.3712,-0.0374,-4.7736,0.9863,0.0,0.0,0.4433,-0.0325,0.0026,-0.0266,0.0321,0.0009,-0.027
496.0888,0.0225,1.0067,5.3457,-0.0361,-4.8946,0.8104,0.0,0.0,0.4433,-0.0324,0.0026,-0.0266,0.0321,0.0009,-0.027
500.0678,0.0591,0.9065,5.1578,0.0406,-4.691,0.722,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.027
503.9738,0.1381,0.8092,5.2836,-0.0323,-4.7451,0.8526,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.027
508.1035,0.2043,0.7041,5.2961,-0.0178,-4.633,0.7776,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.027
511.986,0.2471,0.5981,5.1613,-0.0085,-4.6297,0.7513,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.027
515.9836,0.2887,0.532,5.1737,-0.0124,-4.7531,0.8538,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.027
520.0602,0.3052,0.5071,5.1984,0.0348,-4.8304,0.7601,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.0269
524.0042,0.2861,0.4566,5.2007,-0.0275,-4.8411,0.7782,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.027
528.0731,0.2696,0.4814,5.2088,-0.0017,-4.7611,1.0459,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.0269
532.1478,0.2299,0.4932,5.2076,-0.043,-4.8981,1.0051,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.027
536.0414,0.2161,0.4896,5.1489,-0.0859,-4.8502,0.932,0.0,0.0,0.4433,-0.0324,0.0026,-0.0265,0.0321,0.0009,-0.027
540.3591,0.227,0.4996,5.1346,-0.1677,-4.4789,1.1457,0.0,0.0,0.4433,-0.0324,0.0027,-0.0265,0.0321,0.0008,-0.027
543.9741,0.2431,0.5134,5.5252,0.3888,-4.731,0.6679,0.0,0.0,0.4433,-0.0325,0.0026,-0.0265,0.0321,0.0009,-0.027
548.0188,0.2295,0.5176,5.1167,-0.0905,-4.8293,1.0003,0.0,0.0,0.4433,-0.0324,0.0026,-0.0266,0.0321,0.0009,-0.0269
