n,x,y
740,351.5,220.0
822,350.0,206.0
874,349.5,203.0
885,348.0,201.5
908,346.5,200.0
923,345.5,199.5
938,345.0,199.0
986,345.0,198.0
1000,344.0,198.0
1018,344.0,197.5
1050,343.0,197.5
1086,342.5,197.0
1115,343.0,197.5
1146,343.0,197.5
1177,343.0,197.5
1225,343.0,197.5
1263,343.0,198.0
1294,343.5,198.0
1324,343.5,198.0
1355,344.5,198.0
1386,345.0,198.5
1423,345.0,198.5
1455,345.5,199.5
1484,346.0,200.5
1515,346.0,201.0
1547,347.0,202.5
1582,349.5,204.5
1627,349.5,208.5
1659,349.5,212.5
1697,349.5,215.5
1729,352.0,219.5
1758,352.0,221.0
1790,351.5,221.5
1820,351.0,221.5
1858,351.0,221.5
1887,351.5,221.0
1915,351.5,221.0
1948,352.0,221.0
1984,352.5,221.0
2015,351.5,220.5
2059,352.5,221.0
2095,352.0,220.5
2123,351.5,220.5
2153,351.0,220.0
2186,351.5,221.0
2223,352.5,221.5
2254,352.5,222.0
2282,352.5,222.0
2315,353.5,222.5
2350,352.5,222.5
2379,353.0,222.5
2410,353.5,222.5
2513,353.5,222.5
2532,354.0,222.5
2588,353.5,222.5
2609,354.0,222.5
2624,354.0,222.5
2641,353.5,223.0
2654,354.0,223.0
2684,353.5,224.5
2716,354.5,223.5
2754,353.5,224.5
2783,353.0,223.5
2811,350.0,223.0
2844,349.0,223.0
2875,347.0,222.5
2924,346.0,223.0
2955,345.5,223.5
2987,343.5,222.0
3041,341.0,221.5
3061,338.0,221.5
3082,334.5,221.5
3114,334.5,222.0
3151,334.5,221.0
3181,332.0,221.0
3213,330.0,221.5
3243,329.5,222.0
3279,328.5,222.0
3322,328.0,221.5
3354,327.5,220.0
3387,327.0,219.5
3422,326.0,219.0
3452,326.0,219.5
3482,326.0,219.0
3519,325.5,219.5
3550,326.0,219.0
3581,326.0,219.5
3612,326.0,219.0
3642,326.0,219.0
3674,326.0,219.5
3710,326.0,219.0
3787,326.0,219.5
3799,326.5,219.5
3821,326.0,219.5
3851,326.0,219.0
3882,326.0,219.5
3915,326.0,220.0
3947,326.0,219.5
3983,326.0,219.5
4015,326.0,219.5
4046,326.0,220.0
4078,325.5,219.0
4111,326.0,220.0
4189,326.0,220.0
4220,325.5,220.5
4234,326.0,220.0
4251,326.0,220.5
4286,326.5,221.0
4318,326.5,222.0
4347,327.0,224.0
4382,328.0,225.0
4414,328.0,226.5
4444,328.5,225.5
4477,329.0,225.5
4512,330.0,226.0
4569,332.5,224.5
4622,333.0,225.0
4652,333.5,225.0
4670,333.5,225.0
4686,334.0,224.5
4715,334.0,224.0
4750,332.5,222.5
4781,332.0,222.0
4810,332.0,222.0
4847,331.5,221.5
4877,330.5,223.0
4909,329.5,222.5
4970,329.0,223.5
5020,329.0,223.5
5051,328.5,223.0
5078,329.0,223.5
5089,328.5,223.5
5117,329.0,224.5
5147,330.0,224.0
5178,330.0,224.0
5215,330.0,224.0
5246,330.0,223.5
5278,330.0,225.0
5307,329.0,224.5
5374,330.0,225.0
5403,330.0,226.0
5450,329.0,226.0
5485,329.0,226.0
5515,329.0,226.0
5541,329.0,226.0
5556,328.0,225.5
5583,328.0,225.5
5611,327.5,226.5
5643,327.0,225.0
5673,326.5,227.0
5711,326.0,226.5
5769,325.0,227.0
5804,325.0,226.5
5835,324.5,226.5
5885,323.5,226.0
5914,322.5,225.0
5931,322.5,226.0
5948,322.0,225.5
5982,321.0,226.5
6010,320.5,225.5
6043,320.5,225.5
6077,320.5,225.5
6107,319.5,226.5
6174,318.5,226.5
6203,319.0,225.5
6234,318.5,226.5
6270,318.5,226.5
6317,318.0,227.0
6345,317.5,227.5
6368,318.0,227.0
6383,317.5,227.5
6413,318.5,227.5
6442,317.5,227.5
6475,318.0,227.5
6507,318.0,227.0
6576,318.0,227.0
6604,318.0,227.5
6636,318.5,228.0
6670,317.5,228.0
6714,318.0,227.5
6746,317.5,228.0
6761,317.5,227.0
6787,317.5,228.0
6814,317.0,228.0
6844,317.5,228.0
6874,317.5,228.0
6908,317.0,228.5
6970,318.5,230.0
7005,317.5,229.5
7036,316.0,229.0
7070,315.5,228.5
7100,315.5,228.0
7159,315.0,228.0
7181,315.5,228.0
7204,315.0,227.5
7219,315.0,227.0
7243,314.5,227.5
7280,314.0,228.5
7309,313.5,227.5
7377,313.5,228.0
7406,312.5,227.5
7438,313.0,227.5
7470,313.0,228.0
7501,312.5,228.0
7535,312.5,228.0
7584,313.5,228.0
7614,313.0,228.0
7645,313.0,228.0
7677,313.0,228.0
7704,313.0,228.0
7725,313.0,228.5
7774,313.5,228.0
7811,313.5,228.0
7837,314.0,228.0
7871,313.5,228.0
7903,314.0,228.5
7931,313.5,228.5
7966,314.0,227.5
8017,314.5,227.5
8046,314.5,228.0
8065,314.5,227.5
8081,315.0,228.0
8111,314.0,228.0
8185,314.0,227.5
8211,314.0,227.5
8245,314.0,227.5
8271,314.0,227.5
8303,314.0,227.5
8335,314.5,227.5
8366,314.5,228.0
8416,314.5,227.5
8450,315.0,227.5
8464,315.0,228.0
8479,315.0,227.5
8511,314.5,227.5
8574,315.5,227.0
8606,315.5,228.0
8644,315.5,228.0
8669,316.0,228.0
8701,317.0,229.0
8733,318.5,230.5
8764,318.5,230.5
8803,318.5,230.5
8854,318.5,229.5
8883,317.5,229.0
8912,317.0,229.0
8951,317.0,228.5
8992,317.0,228.5
9033,317.5,228.5
9071,317.0,227.5
9103,317.0,228.5
9135,317.0,228.0
9164,316.5,229.0
9194,316.0,228.5
9226,316.0,228.5
9259,316.0,228.5
9288,315.5,228.5
9319,315.5,229.0
9351,315.0,229.0
9383,315.0,229.0
9415,318.0,230.5
9445,318.0,230.0
9478,320.5,230.0
9508,321.0,229.0
9540,319.5,227.5
9570,321.0,224.0
9606,322.0,222.5
9655,322.5,221.5
9703,322.5,221.0
9746,323.5,221.5
9778,323.5,221.0
9827,323.5,221.0
9871,324.0,220.0
9918,324.0,220.5
9952,323.5,219.0
9996,323.5,219.5
10027,322.5,218.5
10059,322.5,219.0
10088,321.5,218.0
10119,320.0,218.0
10151,319.5,217.5
10179,320.0,219.0
10211,320.5,223.0
10241,320.0,224.5
10272,321.0,223.0
10300,323.5,222.5
10333,324.5,222.5
10365,324.0,222.0
10394,324.0,222.5
10424,325.0,221.5
10462,324.5,220.5
10491,325.5,220.5
10521,326.5,220.5
10551,326.0,219.5
10586,327.0,219.0
10615,327.0,219.5
10648,327.0,219.5
10679,326.0,219.0
10707,326.0,219.0
10738,325.0,219.0
10768,324.0,218.0
10798,323.0,220.0
10830,322.0,220.0
10861,320.5,221.0
10891,319.5,220.0
10923,319.0,221.0
10953,319.0,221.0
10984,319.5,221.0
11016,318.5,221.0
11050,317.5,221.0
11079,317.0,221.5
11110,316.0,221.5
11141,315.5,222.0
11171,314.0,221.5
11204,313.0,221.5
11235,311.5,220.5
11265,311.5,221.0
11295,311.5,220.0
11327,312.5,221.5
11357,312.0,221.5
11405,311.5,221.0
11438,311.0,221.0
11485,310.5,220.5
11515,310.5,221.0
11547,311.0,221.0
11580,310.5,220.5
11610,312.0,221.0
11641,313.0,221.5
11671,313.5,222.0
11700,314.0,222.0
11732,314.0,222.0
11762,314.5,222.0
11810,314.5,222.5
11841,314.5,222.5
11872,315.0,224.0
11904,314.0,226.0
11936,314.0,226.0
11968,314.5,225.5
